id;title;description;stars;approved;date
1;contextually-based Baden-Württemberg Fresh;Table Mikronesien;3599;false;2022-05-10T08:52:18
2;alarm functionalities extensible;Total USB e-services;77359;true;2022-05-09T12:34:07
3;Junctions;Keyboard Account world-class;21605;true;2022-05-09T13:05:05
4;Berkshire Tools portals;bypassing;96761;false;2022-05-09T22:15:08
5;ROI turquoise Brand;intuitive Corners Buckinghamshire;5722;false;2022-05-09T11:36:03
6;open-source;Sachsen navigating Intelligent;67028;true;2022-05-10T03:20:26
7;Euro;firewall ADP International;80004;false;2022-05-09T12:03:07
8;Jewelery application users;back-end;33082;true;2022-05-09T13:44:43
9;ivory deliverables Small;invoice digital parsing;94735;true;2022-05-10T00:10:19
10;Vision-oriented empowering auxiliary;Account withdrawal;16931;false;2022-05-09T18:35:06
